"","Item_Identifier","Item_Count","Outlet_Identifier","Outlet_Count","X","Item_Weight","Item_Fat_Content","Item_Visibility","Item_Type","Item_MRP","Outlet_Establishment_Year","Outlet_Size_High","Outlet_Size_Medium","Outlet_Size_Other","Outlet_Size_Small","Outlet_Location_Type_Tier 1","Outlet_Location_Type_Tier 2","Outlet_Location_Type_Tier 3","Outlet_Type_Grocery Store","Outlet_Type_Supermarket Type1","Outlet_Type_Supermarket Type2","Outlet_Type_Supermarket Type3","Item_Outlet_Sales","Outlet_Year","Item_Type_New_Drinks","Item_Type_New_Food","Item_Type_New_Non-Consumable"
"60","DRB25",10,"OUT019",880,12534,12.6,0,0.121615007,"Soft Drinks",108.7938,1985,0,0,0,1,1,0,0,1,0,0,0,1,28,1,0,0
"61","DRB25",10,"OUT046",1550,12286,12.3,0,0.069459722,"Soft Drinks",107.1938,1997,0,0,0,1,1,0,0,0,1,0,0,1,16,1,0,0
"62","DRB25",10,"OUT017",1543,8290,12.3,0,0.069852615,"Soft Drinks",107.4938,2007,0,0,1,0,0,1,0,0,1,0,0,2358.2636,6,1,0,0
"63","DRB25",10,"OUT027",1559,2534,12.6,0,0.06912336,"Soft Drinks",106.0938,1985,0,1,0,0,0,0,1,0,0,0,1,2787.0388,28,1,0,0
"64","DRB25",10,"OUT045",1548,12346,12.3,0,0.069600588,"Soft Drinks",107.4938,2002,0,0,1,0,0,1,0,0,1,0,0,1,11,1,0,0
"65","DRB48",9,"OUT045",1548,9307,16.75,1,0.024903892,"Soft Drinks",39.1822,2002,0,0,1,0,0,1,0,0,1,0,0,1,11,1,0,0
"66","DRB48",9,"OUT035",1550,1919,16.75,1,0.024848788,"Soft Drinks",39.9822,2004,0,0,0,1,0,1,0,0,1,0,0,746.3618,9,1,0,0
"67","DRB48",9,"OUT046",1550,577,16.75,1,0.0540205365,"Soft Drinks",39.3822,1997,0,0,0,1,1,0,0,0,1,0,0,353.5398,16,1,0,0
"68","DRB48",9,"OUT017",1543,8107,16.75,1,0.024994069,"Soft Drinks",37.4822,2007,0,0,1,0,0,1,0,0,1,0,0,549.9508,6,1,0,0
"69","DRB48",9,"OUT049",1550,5628,16.75,1,0.024892129,"Soft Drinks",37.8822,1999,0,1,0,0,1,0,0,0,1,0,0,589.233,14,1,0,0
"70","DRB48",9,"OUT027",1559,459,12.6,1,0.024733134,"Soft Drinks",40.2822,1985,0,1,0,0,0,0,1,0,0,0,1,1296.3126,28,1,0,0
"71","DRB48",9,"OUT010",925,2945,16.75,1,0.041599644,"Soft Drinks",40.9822,1998,0,0,1,0,0,0,1,1,0,0,0,157.1288,15,1,0,0
"72","DRB48",9,"OUT013",1553,104,16.75,1,0.024832806,"Soft Drinks",38.7822,1987,1,0,0,0,0,0,1,0,1,0,0,667.7974,26,1,0,0
"73","DRB48",9,"OUT018",1546,13243,16.75,1,0.024954731,"Soft Drinks",38.3822,2009,0,1,0,0,0,0,1,0,0,1,0,1,4,1,0,0
"74","DRC01",9,"OUT013",1553,5219,5.92,1,0.019184026,"Soft Drinks",50.3692,1987,1,0,0,0,0,0,1,0,1,0,0,591.2304,26,1,0,0
"75","DRC01",9,"OUT035",1550,10589,5.92,1,0.019196373,"Soft Drinks",50.3692,2004,0,0,0,1,0,1,0,0,1,0,0,1,9,1,0,0
"76","DRC01",9,"OUT017",1543,2273,5.92,1,0.019308607,"Soft Drinks",49.0692,2007,0,0,1,0,0,1,0,0,1,0,0,1478.076,6,1,0,0
"77","DRC01",9,"OUT049",1550,12788,5.92,1,0.019229854,"Soft Drinks",47.5692,1999,0,1,0,0,1,0,0,0,1,0,0,1,14,1,0,0
"78","DRC01",9,"OUT045",1548,5030,5.92,1,0.019238942,"Soft Drinks",49.8692,2002,0,0,1,0,0,1,0,0,1,0,0,1133.1916,11,1,0,0
"79","DRC01",9,"OUT046",1550,5078,5.92,1,0.019200003,"Soft Drinks",47.7692,1997,0,0,0,1,1,0,0,0,1,0,0,492.692,16,1,0,0
"80","DRC01",9,"OUT027",1559,2928,12.6,1,0.019107027,"Soft Drinks",48.4692,1985,0,1,0,0,0,0,1,0,0,0,1,1034.6532,28,1,0,0
"81","DRC01",9,"OUT010",925,9454,5.92,1,0.03213687,"Soft Drinks",49.1692,1998,0,0,1,0,0,0,1,1,0,0,0,1,15,1,0,0
"82","DRC01",9,"OUT018",1546,2,5.92,1,0.019278216,"Soft Drinks",48.2692,2009,0,1,0,0,0,0,1,0,0,1,0,443.4228,4,1,0,0
"83","DRC12",8,"OUT035",1550,7063,17.85,0,0.03781972,"Soft Drinks",191.6188,2004,0,0,0,1,0,1,0,0,1,0,0,2475.4444,9,1,0,0
"84","DRC12",8,"OUT046",1550,4606,17.85,0,0.037826873,"Soft Drinks",189.7188,1997,0,0,0,1,1,0,0,0,1,0,0,2285.0256,16,1,0,0
"85","DRC12",8,"OUT049",1550,7558,17.85,0,0.037885683,"Soft Drinks",190.4188,1999,0,1,0,0,1,0,0,0,1,0,0,952.094,14,1,0,0
"86","DRC12",8,"OUT027",1559,10250,12.6,0,0.037643694,"Soft Drinks",192.0188,1985,0,1,0,0,0,0,1,0,0,0,1,1,28,1,0,0
"87","DRC12",8,"OUT018",1546,8541,17.85,0,0.037980963,"Soft Drinks",192.2188,2009,0,1,0,0,0,0,1,0,0,1,0,1,4,1,0,0
"88","DRC12",8,"OUT013",1553,10896,17.85,0,0.037795394,"Soft Drinks",189.5188,1987,1,0,0,0,0,0,1,0,1,0,0,1,26,1,0,0
"89","DRC12",8,"OUT045",1548,12613,17.85,0,0.037903586,"Soft Drinks",191.7188,2002,0,0,1,0,0,1,0,0,1,0,0,1,11,1,0,0
"90","DRC12",8,"OUT017",1543,773,17.85,0,0.038040837,"Soft Drinks",189.1188,2007,0,0,1,0,0,1,0,0,1,0,0,3237.1196,6,1,0,0
"91","DRC13",8,"OUT013",1553,9285,8.26,1,0.032414575,"Soft Drinks",124.973,1987,1,0,0,0,0,0,1,0,1,0,0,1,26,1,0,0
"92","DRC13",8,"OUT018",1546,5378,8.26,1,0.032573725,"Soft Drinks",125.073,2009,0,1,0,0,0,0,1,0,0,1,0,985.384,4,1,0,0
"93","DRC13",8,"OUT049",1550,9047,8.26,1,0.03249201,"Soft Drinks",124.773,1999,0,1,0,0,1,0,0,0,1,0,0,1,14,1,0,0
"94","DRC13",8,"OUT035",1550,1254,8.26,1,0.032435437,"Soft Drinks",124.873,2004,0,0,0,1,0,1,0,0,1,0,0,2956.152,9,1,0,0
"95","DRC13",8,"OUT045",1548,2546,8.26,1,0.0540205365,"Soft Drinks",122.573,2002,0,0,1,0,0,1,0,0,1,0,0,739.038,11,1,0,0
"96","DRC13",8,"OUT027",1559,10333,12.6,1,0.032284472,"Soft Drinks",123.973,1985,0,1,0,0,0,0,1,0,0,0,1,1,28,1,0,0
"97","DRC13",8,"OUT046",1550,9334,8.26,1,0.032441572,"Soft Drinks",121.673,1997,0,0,0,1,1,0,0,0,1,0,0,1,16,1,0,0
"98","DRC13",8,"OUT017",1543,2879,8.26,1,0.032625074,"Soft Drinks",124.673,2007,0,0,1,0,0,1,0,0,1,0,0,1847.595,6,1,0,0
"99","DRC24",9,"OUT027",1559,13043,12.6,0,0.02470108,"Soft Drinks",154.0998,1985,0,1,0,0,0,0,1,0,0,0,1,1,28,1,0,0
"100","DRC24",9,"OUT013",1553,12187,17.85,0,0.024800623,"Soft Drinks",153.0998,1987,1,0,0,0,0,0,1,0,1,0,0,1,26,1,0,0
"101","DRC24",9,"OUT046",1550,13226,17.85,0,0.024821278,"Soft Drinks",153.4998,1997,0,0,0,1,1,0,0,0,1,0,0,1,16,1,0,0
"102","DRC24",9,"OUT018",1546,7276,17.85,0,0.02492239,"Soft Drinks",153.4998,2009,0,1,0,0,0,0,1,0,0,1,0,2922.1962,4,1,0,0
"103","DRC24",9,"OUT049",1550,12071,17.85,0,0.024859869,"Soft Drinks",151.7998,1999,0,1,0,0,1,0,0,0,1,0,0,1,14,1,0,0
"104","DRC24",9,"OUT017",1543,4354,17.85,0,0.024961677,"Soft Drinks",153.1998,2007,0,0,1,0,0,1,0,0,1,0,0,3383.5956,6,1,0,0
"105","DRC24",9,"OUT045",1548,13024,17.85,0,0.024871616,"Soft Drinks",155.7998,2002,0,0,1,0,0,1,0,0,1,0,0,1,11,1,0,0
"106","DRC24",9,"OUT019",880,13860,12.6,0,0.043458854,"Soft Drinks",152.2998,1985,0,0,0,1,1,0,0,1,0,0,0,1,28,1,0,0
"107","DRC24",9,"OUT035",1550,8604,17.85,0,0.024816585,"Soft Drinks",152.6998,2004,0,0,0,1,0,1,0,0,1,0,0,1,9,1,0,0
"108","DRC25",10,"OUT035",1550,9349,5.73,0,0.045363276,"Soft Drinks",85.1882,2004,0,0,0,1,0,1,0,0,1,0,0,1,9,1,0,0
"109","DRC25",10,"OUT019",880,1709,12.6,0,0.079440262,"Soft Drinks",86.7882,1985,0,0,0,1,1,0,0,1,0,0,0,85.8882,28,1,0,0
"110","DRC25",10,"OUT017",1543,13709,5.73,0,0.045628497,"Soft Drinks",85.1882,2007,0,0,1,0,0,1,0,0,1,0,0,1,6,1,0,0
"111","DRC25",10,"OUT010",925,2797,5.73,0,0.075943184,"Soft Drinks",85.5882,1998,0,0,1,0,0,0,1,1,0,0,0,171.7764,15,1,0,0
"112","DRC25",10,"OUT046",1550,2672,5.73,0,0.045371855,"Soft Drinks",86.0882,1997,0,0,0,1,1,0,0,0,1,0,0,1116.5466,16,1,0,0
"113","DRC25",10,"OUT049",1550,13496,5.73,0,0.045442396,"Soft Drinks",85.4882,1999,0,1,0,0,1,0,0,0,1,0,0,1,14,1,0,0
"114","DRC25",10,"OUT018",1546,6690,5.73,0,0.045556681,"Soft Drinks",85.3882,2009,0,1,0,0,0,0,1,0,0,1,0,1288.323,4,1,0,0
"115","DRC25",10,"OUT045",1548,6696,5.73,0,0.045463871,"Soft Drinks",85.2882,2002,0,0,1,0,0,1,0,0,1,0,0,2061.3168,11,1,0,0
"116","DRC25",10,"OUT013",1553,4277,5.73,0,0.045334098,"Soft Drinks",87.0882,1987,1,0,0,0,0,0,1,0,1,0,0,1803.6522,26,1,0,0
"117","DRC25",10,"OUT027",1559,6720,12.6,0,0.0540205365,"Soft Drinks",87.3882,1985,0,1,0,0,0,0,1,0,0,0,1,1374.2112,28,1,0,0
"118","DRC27",10,"OUT045",1548,1909,13.8,0,0.058220302,"Dairy",247.4802,2002,0,0,1,0,0,1,0,0,1,0,0,1474.0812,11,1,0,0
"119","DRC27",10,"OUT019",880,9348,12.6,0,0.101729922,"Dairy",246.2802,1985,0,0,0,1,1,0,0,1,0,0,0,1,28,1,0,0
"120","DRC27",10,"OUT010",925,6657,13.8,0,0.097251621,"Dairy",245.7802,1998,0,0,1,0,0,0,1,1,0,0,0,245.6802,15,1,0,0
"121","DRC27",10,"OUT046",1550,8552,13.8,0,0.058102469,"Dairy",244.6802,1997,0,0,0,1,1,0,0,0,1,0,0,1,16,1,0,0
"122","DRC27",10,"OUT018",1546,7233,13.8,0,0.058339153,"Dairy",246.2802,2009,0,1,0,0,0,0,1,0,0,1,0,1228.401,4,1,0,0
"123","DRC27",10,"OUT049",1550,4731,13.8,0,0.058192802,"Dairy",246.9802,1999,0,1,0,0,1,0,0,0,1,0,0,5896.3248,14,1,0,0
"124","DRC27",10,"OUT013",1553,10672,13.8,0,0.058054117,"Dairy",247.1802,1987,1,0,0,0,0,0,1,0,1,0,0,1,26,1,0,0
"125","DRC27",10,"OUT017",1543,3461,13.8,0,0.05843112,"Dairy",243.6802,2007,0,0,1,0,0,1,0,0,1,0,0,1965.4416,6,1,0,0
"126","DRC27",10,"OUT035",1550,212,13.8,0,0.058091482,"Dairy",245.1802,2004,0,0,0,1,0,1,0,0,1,0,0,5650.6446,9,1,0,0
"127","DRC27",10,"OUT027",1559,12446,12.6,0,0.057821105,"Dairy",246.9802,1985,0,1,0,0,0,0,1,0,0,0,1,1,28,1,0,0
"128","DRC36",10,"OUT045",1548,8599,13,1,0.045076104,"Soft Drinks",173.7054,2002,0,0,1,0,0,1,0,0,1,0,0,1,11,1,0,0
"129","DRC36",10,"OUT027",1559,1085,12.6,1,0.044767032,"Soft Drinks",173.7054,1985,0,1,0,0,0,0,1,0,0,0,1,5778.4782,28,1,0,0
"130","DRC36",10,"OUT035",1550,5634,13,1,0.044976367,"Soft Drinks",176.2054,2004,0,0,0,1,0,1,0,0,1,0,0,1225.7378,9,1,0,0
"131","DRC36",10,"OUT046",1550,3595,13,1,0.044984874,"Soft Drinks",175.0054,1997,0,0,0,1,1,0,0,0,1,0,0,1926.1594,16,1,0,0
"132","DRC36",10,"OUT018",1546,14188,13,1,0.045168123,"Soft Drinks",173.4054,2009,0,1,0,0,0,0,1,0,0,1,0,1,4,1,0,0
"133","DRC36",10,"OUT019",880,10944,12.6,1,0.078762707,"Soft Drinks",175.6054,1985,0,0,0,1,1,0,0,1,0,0,0,1,28,1,0,0
"134","DRC36",10,"OUT017",1543,5480,13,1,0.045239326,"Soft Drinks",174.1054,2007,0,0,1,0,0,1,0,0,1,0,0,4377.635,6,1,0,0
"135","DRC36",10,"OUT010",925,9924,13,1,0.075295456,"Soft Drinks",174.4054,1998,0,0,1,0,0,0,1,1,0,0,0,1,15,1,0,0
"136","DRC36",10,"OUT049",1550,13731,13,1,0.045054813,"Soft Drinks",173.8054,1999,0,1,0,0,1,0,0,0,1,0,0,1,14,1,0,0
"137","DRC36",10,"OUT013",1553,5900,13,1,0.0540205365,"Soft Drinks",173.6054,1987,1,0,0,0,0,0,1,0,1,0,0,1751.054,26,1,0,0
"138","DRC49",9,"OUT049",1550,9867,8.67,0,0.065538317,"Soft Drinks",141.8128,1999,0,1,0,0,1,0,0,0,1,0,0,1,14,1,0,0
"139","DRC49",9,"OUT019",880,13714,12.6,0,0.114571006,"Soft Drinks",143.6128,1985,0,0,0,1,1,0,0,1,0,0,0,1,28,1,0,0
"140","DRC49",9,"OUT045",1548,13392,8.67,0,0.065569288,"Soft Drinks",144.6128,2002,0,0,1,0,0,1,0,0,1,0,0,1,11,1,0,0
"141","DRC49",9,"OUT035",1550,7420,8.67,0,0.065424208,"Soft Drinks",145.8128,2004,0,0,0,1,0,1,0,0,1,0,0,2444.8176,9,1,0,0
"142","DRC49",9,"OUT046",1550,6302,8.67,0,0.065436581,"Soft Drinks",142.9128,1997,0,0,0,1,1,0,0,0,1,0,0,2013.3792,16,1,0,0
"143","DRC49",9,"OUT013",1553,10530,8.67,0,0.065382126,"Soft Drinks",145.2128,1987,1,0,0,0,0,0,1,0,1,0,0,1,26,1,0,0
"144","DRC49",9,"OUT017",1543,10220,8.67,0,0.065806717,"Soft Drinks",144.6128,2007,0,0,1,0,0,1,0,0,1,0,0,1,6,1,0,0
"145","DRC49",9,"OUT027",1559,4836,12.6,0,0.065119701,"Soft Drinks",145.7128,1985,0,1,0,0,0,0,1,0,0,0,1,4026.7584,28,1,0,0
"146","DRC49",9,"OUT018",1546,12182,8.67,0,0.065703142,"Soft Drinks",143.8128,2009,0,1,0,0,0,0,1,0,0,1,0,1,4,1,0,0
"147","DRD01",9,"OUT049",1550,7843,12.1,1,0.061270647,"Soft Drinks",53.2614,1999,0,1,0,0,1,0,0,0,1,0,0,386.8298,14,1,0,0
"148","DRD01",9,"OUT019",880,11676,12.6,1,0.107110465,"Soft Drinks",55.6614,1985,0,0,0,1,1,0,0,1,0,0,0,1,28,1,0,0
"149","DRD01",9,"OUT027",1559,11982,12.6,1,0.06087929,"Soft Drinks",53.3614,1985,0,1,0,0,0,0,1,0,0,0,1,1,28,1,0,0
"150","DRD01",9,"OUT013",1553,8812,12.1,1,0.061124626,"Soft Drinks",56.4614,1987,1,0,0,0,0,0,1,0,1,0,0,1,26,1,0,0
"151","DRD01",9,"OUT046",1550,12981,12.1,1,0.061175535,"Soft Drinks",54.8614,1997,0,0,0,1,1,0,0,0,1,0,0,1,16,1,0,0
"152","DRD01",9,"OUT018",1546,4610,12.1,1,0.061424738,"Soft Drinks",56.7614,2009,0,1,0,0,0,0,1,0,0,1,0,1049.9666,4,1,0,0
"153","DRD01",9,"OUT035",1550,1797,12.1,1,0.061163967,"Soft Drinks",56.5614,2004,0,0,0,1,0,1,0,0,1,0,0,828.921,9,1,0,0
"154","DRD01",9,"OUT017",1543,3817,12.1,1,0.061521569,"Soft Drinks",55.8614,2007,0,0,1,0,0,1,0,0,1,0,0,1436.7964,6,1,0,0
"155","DRD01",9,"OUT045",1548,7934,12.1,1,0.061299601,"Soft Drinks",56.2614,2002,0,0,1,0,0,1,0,0,1,0,0,552.614,11,1,0,0
"156","DRD12",8,"OUT018",1546,5638,6.96,0,0.077508015,"Soft Drinks",92.3146,2009,0,1,0,0,0,0,1,0,0,1,0,1094.5752,4,1,0,0
"157","DRD12",8,"OUT013",1553,4274,6.96,0,0.077129323,"Soft Drinks",92.7146,1987,1,0,0,0,0,0,1,0,1,0,0,1733.0774,26,1,0,0
"158","DRD12",8,"OUT046",1550,2592,6.96,0,0.077193561,"Soft Drinks",89.9146,1997,0,0,0,1,1,0,0,0,1,0,0,1277.0044,16,1,0,0
